der Badeurlaub | beach vacation
der Campingurlaub | camping vacation
die Nordsee | North Sea
der Snowboard-Urlaub | snowboarding vacation
der Stadturlaub | vacation in the city
der Badeanzug | swimsuit
die Badehose | swim trunks
der Badeschuh | water shoe
der Bikini | bikini
die Handtasche | handbag
der Helm | helmet
die Regenjacke | rain jacket
der Regenschirm | umbrella
die Reisetasche | traveling bag
der Schlafsack | sleeping bag
die Skibrille | ski goggles
die Sonnencreme | sunscreen
der Stadtplan | city map
die Winterjacke | winter jacket
das Zelt | tent
die Städtereise | city trip
die Stadtführung | tour of the city
das Kunstmuseum | art museum
der Marktplatz | open-air market
die Segway-Tour | Segway tour
der Spaziergang | walk, stroll
der Theaterbesuch | theater visit
der Plan | plan
der Ausweis | ID card
das Doppelzimmer | double room
das Einzelzimmer | single room
die Kreditkarte | credit card
der Reisepass | passport
der Zimmerschlüssel | room key
die Haltestelle | station, transit stop
die Trạm | tram
die Sehenswürdigkeit | tourist attraction
die Stadtbesichtigung | sightseeing in the city
die Tante | aunt
der Urlaubsort | resort
der Sonnenschein | sunshine
die Energie | energy
das Navi | GPS device, navigation system
die Ostseeküste | Baltic Sea coast
das Reisebüro | travel agency
die Sandale | sandal
der Schaffner | conductor
der Sommerurlaub | summer vacation
die Halbpension | half board (breakfast and dinner)
das Handy | cellphone
die Jugendherberge | youth hostel
der Karton | box
die Küste | coast
die Landschaft | landscape
die Fahrradtour | bicycle tour
die Reise | trip, journey
die Tour | tour
die Fantasie | fantasy, imagination
der Bericht | report
der Wind | wind
die Seite | side, page
der Ärger | anger
die Heizung | heating
die Rezeption | reception
der Angestellte | employee, staff member
das Prozent | percentage
das Reiseziel | travel destination
