einpacken | to pack
packen | to pack (Ich muss noch meinen Koffer packen.)
besichtigen | to sightsee, to view (Tomorrow, we are going sightseeing in the old city.)
shoppen | to shop
reservieren | to reserve
aussteigen | to get off, to deboard
einsteigen | to get on, to board
umsteigen | to transfer (public transit)
regnen | to rain (Es regnet.)
schneien | to snow (Es schneit.)
aufgeschrieben | to write down
fliegen | to fly
fernsehen | to watch television
klappen | to go well (Es hat alles geklappt.)
merken | to notice, to remember
verpassen | to miss, to pass (We have missed the bus!)
wecken | to wake up
aushalten | to withstand, to bear (I can't stand it!)
beschweren | to complain
funktionieren | to function, to work
reparieren | to repair
