duschen | to shower
spazieren gehen | to go for a walk
treffen | to meet
beschreiben | to describe
gefallen | to please, to enjoy
wissen | to know
an | to
gerade | right now
helfen | to help
wollen | to want
klingen | to sound
telefonieren | to call, to talk on the phone
wieder | again
babysitten | to babysit
leidtun | to be sorry
müssen | to have to
schade | what a shame
noch | still
sich treffen | to meet each other
bitten (um Entschuldigung) | to ask (for forgiveness)
entschuldigen | to excuse
machen | to make
arbeiten (mit Anna) | to work (with Anna)
lernen | to study
eintauchen | to dive into
tun | to do
wählen | to choose
