kalt | cold
zuerst | at first
an, am | on (e.g., am 16. August)
bei | upon, in case of (e.g., Bei Regen ...)
Echt? | Really?
wohin? | to where?
besondere, besonderes | special
danach | after that
euch | you (plural, dative)
herzlich | warmly
hoffentlich | hopefully
vorher | before
Bitte schön! | You're welcome!
Danke schön. | Thank you.
getrennt | separate
genug | enough
klasse | great, terrific
langweilig | boring
letzte, letzter | last, final
draußen | outside
eigene, eigenes | own
geöffnet | opened
maximal | at most, maximally
meistens | mostly
selbst | oneself (e.g., bring your own food)
typisch | typical
überall | everywhere
voll | full
zum Beispiel | for example
entlang (die Straße entlang) | along (e.g., along the street)
warum? | why?
