glauben | to believe
klettern | to climb
surfen | to surf
wandern | to hike
feiern | to celebrate
schenken | to give (as a gift)
werden | to become
abholen | to pick up
anfangen | to start
anrufen | to call
einladen | to invite
einsammeln | to gather in
informieren | to inform
mitkommen | to come with
verraten | to reveal, betray
aufhören | to stop (doing something)
bestellen | to order
bringen | to bring
geben | to give
bezahlen | to pay up
stimmen | to be right (e.g., "Stimmt so!")
zahlen | to pay
bekommen | to receive
sitzen | to sit
stehen | to stand
beginnen | to begin
durch | through
enden | to end
laufen | to run
vorbei | past (e.g., run past the church)
haben (Lust haben) | to have (to feel like doing something)
