jung | young
komisch | funny, odd
streng | strict
fertig | finished, exhausted
geschafft | here: managed
offen | open
typisch | typical
voll | full
genau | exact(ly)
extern | external
intern | internal
individuell | individual
monatlich | monthly
regelmäßig | regularly
verschieden | different
formell | formal
geehrte | honorable (used in formal address)
außerdem | in addition
ca. (circa) | approx.
insgesamt | all together
täglich | daily
Facebook | Facebook
Twitter | Twitter
Für wen? | Whom?
Ein Kurztext hat nicht mehr als 140 Zeichen. | A short message has no more than 140 characters.
zwischen | between
Ich hab dich lieb. | I love you (informal, affectionate)
Ich schicke die Nachricht weiter. | I’m forwarding the message.
Viele Leute twittern täglich. | Many people tweet daily.
sozial | social(ly)
beruflich | professional(ly), vocational(ly)
besonders | special, especially
kostenlos | free
leicht | easy, easily
persönlich | personal(ly)
populär | popular(ly)
praktisch | practical(ly)
professionell | professional(ly)
ganz | quite, really (e.g. "Der Chef ist ganz nett." – The boss is quite nice.)
