beginnen | to begin
enden | to end
anmelden | to register, to log on
stattfinden | to take place
geboren | to be born
dabeihaben | to have with
holen | to get
laufen | to run
sitzen | to sit
stehen | to stand
zeigen | to show
beenden | to end
drücken | to press
übernehmen | to take over
verbinden | to connect
vergleichen | to compare
einfüllen | to fill in
einlegen | to insert
genießen | to savor
stellen | to set, to provide
erklären | to explain
diskutieren | to discuss
kennenlernen | to get to know
anmelden | to register, to log on
organisieren | to organize
üben | to practice
recherchieren | to research
ordnen | to arrange
bieten | to offer
finden | to find
schicken | to send
interessieren | to interest
auswendig lernen | to memorize
auswählen | to choose
verabreden | to make a date, to arrange a meeting
präsentieren | to present
profitieren | to profit
suchen | to search
twittern | to tweet
verschicken | to send off
weiterschicken | to forward, to send on
lieb haben | to love (someone)
hochladen | to upload
setzen | to sit (down), to set
