das Arbeitszimmer | study, workroom
der Balkon | balcony, porch
das Bett | bed
der Fernseher | television
der Flur | hallway, corridor
das Gerät | device, appliance
der Herd | stove
das Kinderzimmer | nursery, kids' room
die Lampe | lamp
die Möbel | furniture
die Möglichkeit | possibility
das Regal | shelf
das Schlafzimmer | bedroom
der Schrank | cabinet, closet
der Schreibtisch | desk
der Sessel | armchair
das Sofa | sofa, couch
die Spülmaschine | dishwasher
der Stuhl | chair
der Teppich | carpet
die Waschmaschine | washing machine
das Wohnzimmer | living room
der Informatiker | computer scientist
der Lehrer | teacher
der Lieblingsort | favorite town
die Terrasse | terrace, patio
die Miete | rent
der Zettel | note, tag
die Hauptstraße | major street, main street
die Nähe | proximity
die Wohnfläche | living space
die Wohnungsanzeige | apartment ad
die Anzeige | ad
das Ding | thing
die Laune | mood
die Feier | celebration
der Samstagabend | Saturday night
das Fenster | window
die Kiste | box
der Schlüssel | key
der Vermieter | landlord
der Vertrag | contract
die Einweihungsparty | housewarming party
der Kühlschrank | refrigerator
die Farbe | color
die Aussprache | pronunciation
der Altbau | old building
die Aussicht | view, outlook
die Decke | ceiling
das Hochhaus | high-rise
das Holz | wood
der Loft | loft
das Reethaus | thatched cottage
das Reihenhaus | rowhouse
die Treppe | stairway
der Bewohner | resident
der Nachteil | disadvantage
der Vorteil | advantage
der Favorit | favorite
das Erdgeschoss | ground level
die Lage | location, position
der Nachbar | neighbor
der Textbaustein | cue words and expressions
die Fantasie-Wohnung | imaginary apartment
