denken | to think
aufräumen | to clean up
verdienen | to earn
bleiben | to stay
laufen | to run
reden | to talk, to speak
trainieren | to train
hören | to listen
leben | to live
abrechnen | to calculate
ausladen | to unload
bewerben | to apply
gewinnen | to win
servieren | to serve
überraschen | to surprise
verkleiden | to dress up
verteilen | to distribute, to spread
ziehen | to pull
ansprechen | to speak to, to appeal to
anziehen | to get dressed
empfehlen | to recommend
jobben | to work odd jobs
losgehen | to start, to go off
rumlaufen | to walk around
tragen | to wear, to carry
weggehen | to go away
weglassen | to omit, to leave out
wiederholen | to repeat
verabschieden | to say goodbye
vorbereiten | to prepare
